Rank,coin,market,price,VPD,momentum,trigger,1D%,MaxPriceReturn%,Giveback%p,DayHigh,1H%,RSI14,Williams,Vol3/10,TodayValue/10,IntraAccel,SpikeCollapse,PrevRank,PrevVPD,VPDVelocity,VPDVelocityPerHour,RankChange,NEW_MARKET,NEW_TOP10,Rocket,RocketReason,Status
1,WCT,KRW-WCT,50.6,91.0,↑,A,2.02,7.86,5.85,53.5,-0.39,45.3,-71.7,3.25,7.49,6.01,False,141.0,41.0,50.0,2.09,140.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
2,TREE,KRW-TREE,60.3,85.0,↑↑,A,12.5,25.93,13.43,67.5,-0.17,61.6,-45.3,6.41,18.64,21.3,False,176.0,37.0,48.0,2.0,174.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
3,PUNDIX,KRW-PUNDIX,140.0,85.0,↑↑,A,9.38,25.0,15.62,160.0,0.72,63.7,-50.0,4.04,12.18,30.18,False,228.0,23.0,62.0,2.59,225.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
4,IQ,KRW-IQ,1.15,85.0,↑↑,A,8.49,23.58,15.09,1.31,0.0,64.3,-41.4,4.29,10.93,5.28,False,233.0,22.0,63.0,2.63,229.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
5,ERA,KRW-ERA,79.9,85.0,↑,A,2.3,8.07,5.76,84.4,-0.12,44.2,-83.4,3.11,6.94,5.77,False,140.0,41.0,44.0,1.84,135.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
6,CHZ,KRW-CHZ,19.5,83.0,↑,-,2.63,11.58,8.95,21.2,0.52,55.1,-51.5,2.78,6.24,5.24,False,60.0,56.0,27.0,1.13,54.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
7,BSB,KRW-BSB,136.0,82.0,↑,-,3.82,28.24,24.43,168.0,-2.16,42.5,-64.0,5.68,14.47,10.83,False,83.0,51.0,31.0,1.29,76.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
8,KNC,KRW-KNC,181.0,81.0,↑,-,4.62,9.83,5.2,190.0,0.0,68.9,-24.3,3.61,6.02,2.87,False,8.0,84.0,-3.0,-0.13,0.0,False,False,False,-,-
9,BERA,KRW-BERA,263.0,77.0,↑↑,-,9.13,12.45,3.32,271.0,0.0,60.0,-17.8,2.57,6.11,6.23,False,193.0,33.0,44.0,1.84,184.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
10,MTL,KRW-MTL,407.0,75.0,↑,-,17.97,37.97,20.0,476.0,0.25,76.0,-42.3,34.55,116.38,48.72,False,3.0,89.0,-14.0,-0.58,-7.0,False,False,False,-,-
11,STEEM,KRW-STEEM,65.6,72.0,↑,-,7.54,10.0,2.46,67.1,-0.46,64.8,-16.9,1.43,3.32,4.3,False,211.0,28.0,44.0,1.84,200.0,False,False,True,VELOCITY+RANK,🚀
12,BABY,KRW-BABY,15.8,72.0,↑,-,2.6,3.9,1.3,16.0,0.64,49.8,-55.6,1.39,1.76,1.64,False,78.0,52.0,20.0,0.83,66.0,False,False,True,VELOCITY+RANK,🚀
13,ETHFI,KRW-ETHFI,965.0,70.0,↑,-,5.23,15.92,10.69,1063.0,-0.21,76.4,-28.6,4.43,8.08,3.39,False,33.0,62.0,8.0,0.33,20.0,False,False,True,RANK,🚀
14,BIGTIME,KRW-BIGTIME,9.87,68.0,↑,-,5.9,9.44,3.54,10.2,-0.8,58.2,-27.9,1.12,2.58,4.74,False,242.0,20.0,48.0,2.0,228.0,False,False,True,VELOCITY+RANK,🚀
15,KERNEL,KRW-KERNEL,53.0,67.0,→,-,1.34,3.82,2.49,54.3,-0.19,50.9,-57.1,1.17,1.56,1.56,False,95.0,49.0,18.0,0.75,80.0,False,False,True,VELOCITY+RANK,🚀
16,HUNT,KRW-HUNT,129.0,67.0,↑,-,2.38,5.56,3.17,133.0,0.78,64.9,-21.1,2.06,1.34,0.75,False,4.0,87.0,-20.0,-0.83,-12.0,False,False,False,-,-
17,AGLD,KRW-AGLD,232.0,66.0,↑,-,4.04,6.28,2.24,237.0,0.0,46.2,-45.8,1.57,1.59,1.05,False,18.0,67.0,-1.0,-0.04,1.0,False,False,False,-,-
18,SUPER,KRW-SUPER,164.0,66.0,→,-,-0.61,3.64,4.24,171.0,0.61,60.7,-36.7,1.45,1.45,1.11,False,17.0,67.0,-1.0,-0.04,-1.0,False,False,False,-,-
19,ARK,KRW-ARK,168.0,65.0,↑↑,-,7.69,10.9,3.21,173.0,-0.59,65.0,-60.4,2.71,2.17,1.01,False,131.0,43.0,22.0,0.92,112.0,False,False,True,VELOCITY+RANK,🚀
20,LSK,KRW-LSK,310.0,64.0,↑,-,65.78,77.01,11.23,331.0,1.31,93.7,-10.6,19.7,84.5,27.81,False,26.0,64.0,0.0,0.0,6.0,False,False,False,-,-
21,CVC,KRW-CVC,30.2,64.0,↑,-,4.5,8.65,4.15,31.4,0.0,60.0,-25.5,1.77,1.81,1.25,False,21.0,66.0,-2.0,-0.08,0.0,False,False,False,-,-
22,MASK,KRW-MASK,634.0,63.0,↑,-,5.14,6.47,1.33,642.0,-0.78,61.7,-28.7,1.33,1.92,1.74,False,112.0,47.0,16.0,0.67,90.0,False,False,True,VELOCITY+RANK,🚀
23,CYBER,KRW-CYBER,384.0,63.0,→,-,-1.03,2.58,3.61,398.0,0.0,33.9,-85.3,1.75,1.87,1.28,False,13.0,71.0,-8.0,-0.33,-10.0,False,False,False,-,-
24,TRUST,KRW-TRUST,78.2,63.0,↑,-,1.43,4.67,3.24,80.7,-0.13,57.5,-32.7,1.3,1.6,1.08,False,55.0,57.0,6.0,0.25,31.0,False,False,True,RANK,🚀
25,BLUR,KRW-BLUR,23.1,63.0,↑,-,-4.15,0.41,4.56,24.2,0.43,55.4,-75.5,3.26,1.43,0.49,True,6.0,85.0,-22.0,-0.92,-19.0,False,False,False,-,-
26,SC,KRW-SC,1.3,62.0,↑,-,10.17,22.03,11.86,1.44,0.78,64.4,-30.4,1.81,2.57,1.08,False,120.0,44.0,18.0,0.75,94.0,False,False,True,VELOCITY+RANK,🚀
27,STORJ,KRW-STORJ,89.1,62.0,→,-,-6.9,3.97,10.87,99.5,-0.45,58.3,-38.0,1.25,1.14,1.07,False,76.0,52.0,10.0,0.42,49.0,False,False,True,VELOCITY+RANK,🚀
28,RE,KRW-RE,601.0,62.0,→,-,-2.44,0.81,3.25,621.0,0.17,46.0,-71.3,1.58,0.46,0.26,False,36.0,61.0,1.0,0.04,8.0,False,False,False,-,-
29,STRAX,KRW-STRAX,13.7,61.0,↑,-,3.01,5.26,2.26,14.0,0.74,64.2,-57.1,1.61,0.82,0.5,False,186.0,35.0,26.0,1.08,157.0,False,False,True,VELOCITY+RANK,🚀
30,WLFI,KRW-WLFI,78.8,60.0,↑,-,4.65,11.02,6.37,83.6,-0.13,59.9,-27.1,1.93,1.96,1.25,False,2.0,93.0,-33.0,-1.38,-28.0,False,False,False,-,-
31,GMT,KRW-GMT,10.0,60.0,↑,-,4.17,5.21,1.04,10.1,0.5,54.1,-50.6,1.1,1.21,1.15,False,88.0,50.0,10.0,0.42,57.0,False,False,True,VELOCITY+RANK,🚀
32,TFUEL,KRW-TFUEL,13.7,59.0,→,-,-8.05,0.0,8.05,14.9,0.0,59.8,-73.5,3.64,0.94,0.29,True,11.0,75.0,-16.0,-0.67,-21.0,False,False,False,-,-
33,COW,KRW-COW,185.0,58.0,↑,-,4.52,6.78,2.26,189.0,-0.54,60.7,-13.8,1.18,2.03,2.39,False,198.0,33.0,25.0,1.04,165.0,False,False,True,VELOCITY+RANK,🚀
34,API3,KRW-API3,316.0,58.0,↑,-,3.61,7.21,3.61,327.0,0.32,55.4,-35.7,1.14,1.94,1.8,False,133.0,43.0,15.0,0.63,99.0,False,False,True,VELOCITY+RANK,🚀
35,WIF,KRW-WIF,260.0,57.0,→,-,1.56,4.3,2.73,267.0,0.0,46.8,-92.2,1.06,1.67,2.98,False,128.0,43.0,14.0,0.58,93.0,False,False,True,VELOCITY+RANK,🚀
36,USDS,KRW-USDS,1367.0,57.0,→,-,-1.09,-0.87,0.22,1370.0,0.0,47.5,-64.3,1.48,0.5,0.31,False,29.0,64.0,-7.0,-0.29,-7.0,False,False,False,-,-
37,F,KRW-F,4.57,56.0,↑,-,4.1,5.24,1.14,4.62,-0.22,61.7,-59.8,1.26,1.13,0.59,False,56.0,57.0,-1.0,-0.04,19.0,False,False,True,RANK,🚀
38,EDGE,KRW-EDGE,95.9,55.0,↑,-,1.27,3.7,2.43,98.2,0.21,52.5,-49.5,1.33,0.73,0.56,False,66.0,55.0,0.0,0.0,28.0,False,False,True,RANK,🚀
39,HYPER,KRW-HYPER,91.8,55.0,↑,-,2.57,3.8,1.23,92.9,-0.11,49.8,-61.3,1.3,0.57,0.4,False,58.0,56.0,-1.0,-0.04,19.0,False,False,True,RANK,🚀
40,CELO,KRW-CELO,108.0,54.0,↑,-,5.88,8.82,2.94,111.0,0.0,58.3,-35.2,1.18,1.65,1.25,False,100.0,49.0,5.0,0.21,60.0,False,False,True,RANK,🚀
41,MET2,KRW-MET2,312.0,54.0,↑,-,-0.95,6.67,7.62,336.0,1.3,59.7,-56.6,3.15,1.64,0.6,True,7.0,85.0,-31.0,-1.29,-34.0,False,False,False,-,-
42,VTHO,KRW-VTHO,0.909,53.0,↑,-,13.06,35.57,22.51,1.09,0.55,84.9,-32.0,4.23,3.12,0.94,False,38.0,60.0,-7.0,-0.29,-4.0,False,False,False,-,-
43,THETA,KRW-THETA,254.0,53.0,→,-,-1.55,2.71,4.26,265.0,0.0,59.7,-50.9,3.36,0.7,0.22,True,9.0,80.0,-27.0,-1.13,-34.0,False,False,False,-,-
44,VET,KRW-VET,10.2,53.0,↑,-,2.41,8.43,6.02,10.8,0.0,61.9,-49.1,1.51,0.58,0.34,False,15.0,70.0,-17.0,-0.71,-29.0,False,False,False,-,-
45,PLUME,KRW-PLUME,17.9,52.0,→,-,-2.72,1.63,4.35,18.7,0.0,47.2,-81.0,2.2,0.99,0.5,True,1.0,95.0,-43.0,-1.79,-44.0,False,False,False,-,-
46,SKY,KRW-SKY,86.1,52.0,↑,-,2.38,4.4,2.02,87.8,0.0,46.3,-68.5,1.29,0.53,0.36,False,63.0,55.0,-3.0,-0.13,17.0,False,False,True,RANK,🚀
47,ETH,KRW-ETH,3432000.0,52.0,→,-,0.03,0.9,0.87,3462000.0,-0.09,59.6,-48.1,1.06,0.44,0.37,False,12.0,72.0,-20.0,-0.83,-35.0,False,False,False,-,-
48,SAHARA,KRW-SAHARA,12.4,52.0,→,-,-1.59,0.0,1.59,12.6,0.0,52.5,-68.3,1.36,0.35,0.19,False,30.0,64.0,-12.0,-0.5,-18.0,False,False,False,-,-
49,NEO,KRW-NEO,2959.0,51.0,↑,-,2.0,4.1,2.1,3020.0,-0.17,53.5,-42.7,1.11,1.19,0.9,False,42.0,60.0,-9.0,-0.38,-7.0,False,False,False,-,-
50,ESP,KRW-ESP,122.0,51.0,↓,-,-1.61,4.84,6.45,130.0,0.0,57.6,-33.3,0.78,1.12,1.79,False,161.0,38.0,13.0,0.54,111.0,False,False,True,VELOCITY+RANK,🚀
51,XEC,KRW-XEC,0.0104,51.0,↑↑,-,4.0,6.0,2.0,0.0106,0.97,62.2,-15.0,1.98,1.05,0.54,False,19.0,67.0,-16.0,-0.67,-32.0,False,False,False,-,-
52,TOKAMAK,KRW-TOKAMAK,471.0,51.0,↑,-,0.0,2.76,2.76,484.0,0.21,59.0,-23.8,2.01,0.99,0.5,True,98.0,49.0,2.0,0.08,46.0,False,False,True,RANK,🚀
53,QTUM,KRW-QTUM,1241.0,50.0,↑,-,3.94,6.2,2.26,1268.0,-0.4,61.3,-15.4,1.13,1.47,1.09,False,61.0,56.0,-6.0,-0.25,8.0,False,False,False,-,-
54,PROM,KRW-PROM,7745.0,50.0,→,-,9.39,17.23,7.84,8300.0,-1.21,60.3,-65.1,0.59,1.29,3.5,False,154.0,40.0,10.0,0.42,100.0,False,False,True,VELOCITY+RANK,🚀
55,MOCA,KRW-MOCA,12.1,50.0,↑,-,2.54,3.39,0.85,12.2,0.83,53.9,-50.0,1.0,0.78,0.71,False,89.0,50.0,0.0,0.0,34.0,False,False,True,RANK,🚀
56,TRX,KRW-TRX,463.0,50.0,↑,-,0.65,1.74,1.09,468.0,0.22,55.4,-36.4,1.02,0.71,0.64,False,25.0,65.0,-15.0,-0.63,-31.0,False,False,False,-,-
57,GRVT,KRW-GRVT,235.0,50.0,→,-,-1.67,1.26,2.93,242.0,0.43,47.5,-37.5,1.0,0.45,0.4,False,143.0,40.0,10.0,0.42,86.0,False,False,True,VELOCITY+RANK,🚀
58,AXL,KRW-AXL,59.6,49.0,→,-,3.29,4.33,1.04,60.2,0.0,55.4,-74.7,0.64,0.81,1.45,False,257.0,17.0,32.0,1.34,199.0,False,False,False,-,-
59,SOON,KRW-SOON,246.0,49.0,↓,-,-0.81,1.21,2.02,251.0,-0.4,44.2,-78.2,1.0,0.47,0.43,False,173.0,37.0,12.0,0.5,114.0,False,False,False,-,-
60,UP2,KRW-UP2,81.8,49.0,→,-,-4.99,2.9,7.9,88.6,0.0,53.9,-77.3,2.77,0.44,0.14,True,31.0,63.0,-14.0,-0.58,-29.0,False,False,False,-,-
61,RLUSD,KRW-RLUSD,1368.0,49.0,↑,-,0.37,0.73,0.37,1373.0,0.74,54.7,-83.3,1.21,0.37,0.27,False,49.0,58.0,-9.0,-0.38,-12.0,False,False,False,-,-
62,TRAC,KRW-TRAC,442.0,48.0,→,-,-5.56,0.64,6.2,471.0,0.0,47.7,-83.0,2.95,0.65,0.23,True,5.0,85.0,-37.0,-1.54,-57.0,False,False,False,-,-
63,WAL,KRW-WAL,37.5,47.0,↑,-,4.46,7.8,3.34,38.7,0.0,55.9,-36.8,0.77,1.26,1.31,False,167.0,38.0,9.0,0.38,104.0,False,False,False,-,-
64,ZBT,KRW-ZBT,109.0,47.0,→,-,0.93,3.7,2.78,112.0,-0.91,42.4,-63.2,1.12,0.7,0.59,False,57.0,56.0,-9.0,-0.38,-7.0,False,False,False,-,-
65,APT,KRW-APT,816.0,47.0,↑,-,0.37,4.18,3.81,847.0,0.12,50.4,-50.2,1.11,0.62,0.43,False,24.0,65.0,-18.0,-0.75,-41.0,False,False,False,-,-
66,CPOOL,KRW-CPOOL,27.1,47.0,→,-,-2.87,1.79,4.66,28.4,-0.37,48.3,-77.8,1.73,0.6,0.33,True,14.0,70.0,-23.0,-0.96,-52.0,False,False,False,-,-
67,SLX,KRW-SLX,93.1,47.0,↑,-,0.54,2.05,1.51,94.5,0.32,44.0,-63.1,1.03,0.46,0.36,False,146.0,40.0,7.0,0.29,79.0,False,False,False,-,-
68,POKT,KRW-POKT,10.9,47.0,↓,-,0.0,4.59,4.59,11.4,-0.91,57.1,-43.5,1.07,0.45,0.4,False,185.0,35.0,12.0,0.5,117.0,False,False,False,-,-
69,BSV,KRW-BSV,22340.0,47.0,↓,-,-1.33,0.13,1.46,22670.0,-0.09,49.7,-57.7,1.01,0.39,0.32,False,23.0,65.0,-18.0,-0.75,-46.0,False,False,False,-,-
70,OPEN,KRW-OPEN,183.0,46.0,↑,-,8.28,9.47,1.18,185.0,0.55,32.1,-51.9,0.68,1.33,2.16,False,241.0,20.0,26.0,1.08,171.0,False,False,False,-,-
71,B3,KRW-B3,0.669,46.0,→,-,-0.3,11.77,12.07,0.75,-0.15,54.4,-70.5,3.49,1.14,0.36,True,47.0,59.0,-13.0,-0.54,-24.0,False,False,False,-,-
72,CKB,KRW-CKB,1.5,46.0,↑↑,-,4.9,8.39,3.5,1.55,-0.66,59.8,-53.1,2.69,0.9,0.36,True,87.0,50.0,-4.0,-0.17,15.0,False,False,False,-,-
73,LINEA,KRW-LINEA,3.65,45.0,↑,-,5.49,8.67,3.18,3.76,0.55,57.5,-45.6,0.93,1.14,1.15,False,171.0,37.0,8.0,0.33,98.0,False,False,False,-,-
74,CBK,KRW-CBK,261.0,45.0,↑,-,2.76,4.72,1.97,266.0,0.0,62.8,-16.7,1.13,0.86,0.79,False,129.0,43.0,2.0,0.08,55.0,False,False,False,-,-
75,DATA,KRW-DATA,261.0,45.0,↓,-,-0.38,1.91,2.29,267.0,-0.38,45.3,-57.1,1.0,0.64,0.58,False,97.0,49.0,-4.0,-0.17,22.0,False,False,False,-,-
76,FCT2,KRW-FCT2,10.7,45.0,↓,-,0.0,0.93,0.93,10.8,0.0,69.2,-24.9,1.12,0.54,0.43,False,22.0,65.0,-20.0,-0.83,-54.0,False,False,False,-,-
77,ME,KRW-ME,86.5,45.0,→,-,0.0,1.62,1.62,87.9,0.35,58.4,-56.9,0.87,0.5,0.42,False,70.0,54.0,-9.0,-0.38,-7.0,False,False,False,-,-
78,ENSO,KRW-ENSO,1254.0,45.0,→,-,-4.35,1.53,5.87,1331.0,0.56,58.0,-43.4,0.56,0.5,0.87,False,158.0,39.0,6.0,0.25,80.0,False,False,False,-,-
79,ALGO,KRW-ALGO,126.0,45.0,↓,-,-1.56,0.78,2.34,129.0,0.0,49.5,-58.3,0.91,0.46,0.44,False,69.0,54.0,-9.0,-0.38,-10.0,False,False,False,-,-
80,USDT,KRW-USDT,1359.0,45.0,↓,-,-0.22,0.22,0.44,1365.0,-0.07,45.4,-77.8,0.96,0.45,0.38,False,20.0,67.0,-22.0,-0.92,-60.0,False,False,False,-,-
81,ZKC,KRW-ZKC,63.8,45.0,→,-,1.92,3.83,1.92,65.0,0.0,50.1,-80.9,0.35,0.45,1.19,False,258.0,17.0,28.0,1.17,177.0,False,False,False,-,-
82,DKA,KRW-DKA,5.12,45.0,→,-,0.79,1.18,0.39,5.14,-0.19,58.3,-57.0,0.62,0.4,0.33,False,82.0,52.0,-7.0,-0.29,0.0,False,False,False,-,-
83,BIO,KRW-BIO,34.7,45.0,↑,-,2.36,3.83,1.47,35.2,0.29,48.2,-75.0,1.02,0.38,0.26,False,102.0,49.0,-4.0,-0.17,19.0,False,False,False,-,-
84,BCH,KRW-BCH,307400.0,44.0,→,-,-1.16,1.51,2.67,315700.0,0.07,37.7,-91.5,1.33,0.43,0.33,False,27.0,64.0,-20.0,-0.83,-57.0,False,False,False,-,-
85,BIRB,KRW-BIRB,87.9,44.0,↑,-,-3.51,2.52,6.04,93.4,0.57,64.5,-59.0,2.42,0.22,0.07,True,28.0,64.0,-20.0,-0.83,-57.0,False,False,False,-,-
86,SUN,KRW-SUN,23.2,43.0,↑,-,1.31,1.75,0.44,23.3,0.43,51.6,-18.8,0.96,0.81,0.72,False,91.0,49.0,-6.0,-0.25,5.0,False,False,False,-,-
